"","UC"
"F6884",2.4751
"F1279",7.3438
"F40896",-5.1277
"F40329",-4.471
"F49283",7.9888
"F51335",-5.0084
"F3296",1.1283
"F51593",-6.7025
"F40590",-4.521
"F1164",-4.7486
"F2534",-4.0072
"F1655",-4.6067
"F9348",4.0295
"F582",-0.7104
"F1653",-3.9793
"F53246",4.4912
"F40635",-3.2233
"F42522",-4.6781
"F54878",3.786
"F41749",-1.8366
"F823",-3.1957
"F2666",-2.2985
"F1441",-5.4216
"F37892",-6.8156
"F42607",7.8454
"F26744",-4.7783
"F16242",-6.3506
"F1532",-3.7507
"F8544",5.1479
"F51426",-6.4655
"F45836",7.143
"F51337",-5.5352
"F51997",-6.0535
"F52255",6.614
"F1638",-4.8925
"F843",-3.5589
"F841",-4.291
"F18844",-4.7868
"F53185",1.2574
"F45169",7.4917
"F3364",3.7384
"F41848",-3.8558
"F842",3.1011
"F11554",1.9645
"F55974",7.5355
"F1506",-5.402
"F449",5.4713
"F880",-6.6059
"F4946",5.7234
"F770",-3.7841
"F45702",7.9821
"F50235",-3.8319
"F41796",-5.2224
"F7452",2.6289
"F45348",4.1748
"F1005",-4.5799
"F8349",4.0869
"F5531",-6.1444
"F1757",-3.7202
"F51271",-5.2435
"F2036",4.758
"F9070",-2.2376
"F2035",3.1594
"F54911",-6.4534
"F1470",-3.603
"F1342",-4.5908
"F42351",5.5859
"F41",1.6484
"F940",5.2488
"F30045",1.9618
"F42592",-5.5727
"F3231",4.7283
"F1383",-2.2518
"F50815",-7.8289
"F9041",2.9999
"F41536",-3.9702
"F43968",-7.7637
"F3257",1.0659
"F10203",-3.5813
"F52267",5.5709
"F751",-5.1918
"F49963",-4.8658
"F41058",-5.3364
"F58135",8.7371
"F51420",2.9629
"F42031",4.0026
"F41224",-3.8862
"F1865",-5.7453
"F19352",1.7098
"F4907",6.0188
"F6874",5.9024
"F939",4.0027
"F38567",-5.9137
"F53706",2.5443
"F38854",7.4784
"F950",-5.1726
"F962",-4.5965
"F51409",-6.4757
"F453",6.3993
"F51375",-6.6297
"F46648",6.041
"F50888",-7.408
"F40581",-2.4233
"F808",-4.8591
"F1163",-2.8644
"F3017",-5.5175
"F1139",-4.3483
"F41028",-5.0148
"F6399",-5.0587
"F2337",5.7454
"F51670",-4.0738
"F1495",-4.1663
"F638",-3.9433
"F1459",-4.0279
"F1710",-5.0301
"F23851",1.9648
"F41242",-5.8824
"F39874",6.8184
"F1266",-4.6796
"F39146",-4.5051
"F54180",8.1726
"F989",-5.0858
"F6429",6.426
"F5086",2.0757
"F51511",-5.7803
"F1827",6.8487
"F4734",-5.1197
"F51651",-3.9117
"F817",-1.5909
"F41227",-4.149
"F1378",-4.6238
"F2152",4.2082
"F51329",-5.1371
"F1247",-6.0089
"F3445",2.3435
"F41354",-5.3751
"F27639",5.337
"F42533",4.7065
"F51408",-5.5147
"F51557",-6.3701
"F29646",1.3657
"F41212",-5.5013
"F41181",-5.9711
"F54549",7.5273
"F596",4.9997
"F1362",7.2484
"F1413",-5.2522
"F51545",1.6656
"F37162",-5.8547
"F50356",-4.2557
"F4189",4.8831
"F27704",-4.4278
"F4796",7.4831
"F1038",3.3416
"F2616",-2.4512
"F5764",-5.667
"F41155",-4.521
"F51528",-4.2248
"F825",-1.3041
"F1454",-4.7673
"F41780",-5.2242
"F23869",-4.9454
"F41590",-3.9348
"F51571",-8.1456
"F52951",8.6286
"F1328",-5.2342
"F19384",-4.8675
"F22947",-4.2065
"F40920",-4.3668
"F54798",-5.5736
"F1702",-4.5151
"F9528",6.3352
"F53787",6.6764
"F7054",-7.1369
"F531",-4.1899
"F830",-3.2695
"F1101",4.8989
"F51508",-5.6441
"F23341",-5.2979
"F49225",6.781
"F45955",-6.4691
"F29019",4.3331
"F51339",-5.1025
"F1423",-5.7597
"F1338",-4.1711
"F9517",-2.215
"F41507",-5.4952
"F1602",-5.2176
"F55890",5.0486
"F52953",8.5405
"F45605",7.4999
"F41004",-5.8514
"F41434",-5.2569
"F52605",5.5857
"F16571",3.1372
"F51517",5.9427
"F865",-6.5316
"F2854",5.0862
"F41201",-4.9082
"F49186",2.1223
"F3118",5.7647
"F1601",-5.0132
"F2334",-2.2169
"F50845",0.7787
"F51384",-5.5858
"F48449",5.4237
"F51795",5.8702
"F41890",6.6041
"F1320",-6.2458
"F8115",5.2648
"F40666",-6.7912
"F1143",-5.0024
"F52178",-3.8191
"F9727",4.9622
"F928",7.3332
"F49681",-7.4204
"F912",-5.1272
"F41009",-6.456
"F50384",-5.0323
"F20657",-3.5823
"F51332",-4.9165
"F2395",4.9536
"F3891",-2.6334
"F25137",-5.2027
"F53166",6.9965
"F51516",-4.8285
"F8491",-1.9034
"F11042",-2.2249
"F42193",-5.5846
"F50276",-3.4413
"F2077",5.5201
"F6667",2.6667
"F41386",-3.2146
"F51526",-4.9593
"F52821",7.7534
"F915",-4.8317
"F42427",-2.7303
"F983",-5.2852
"F41239",6.0562
"F2132",3.9856
"F5150",5.4894
"F47018",-3.4133
"F3405",4.9283
"F1774",2.0869
"F1380",-4.2127
"F1224",-3.241
"F1819",-2.9553
"F41552",-3.8083
"F51431",-7.55
"F686",-5.9812
"F42647",5.9885
"F23262",-4.5061
"F41263",-3.6515
"F1563",6.8572
"F2493",4.1251
"F41142",-5.9797
"F2756",-1.9185
"F46035",6.6131
"F32561",-5.433
"F50294",-5.8956
"F35397",-3.4907
"F550",-0.8902
"F40665",-5.2121
"F17172",4.3427
"F51498",7.138
"F807",-5.1946
"F2106",-1.1788
"F1607",-5.7912
"F42337",-3.9408
"F10578",2.2074
"F47195",-6.1183
"F1064",2.0073
"F3544",2.8538
"F51391",-5.2292
"F41286",-4.8332
"F1061",7.3585
"F1464",2.3403
"F40450",-1.1843
"F40790",-4.8681
"F22552",-4.0739
"F1334",-3.1176
"F37108",-3.2788
"F10779",-6.475
"F1176",-3.709
"F40990",-4.9997
"F51477",-5.5735
"F54825",5.0788
"F86",-4.3501
"F2056",2.313
"F2227",4.2787
"F51484",-5.2901
"F40711",-2.8539
"F52784",-4.5454
"F954",-4.3605
"F2137",-3.6932
"F51446",-5.7644
"F50512",-8.4369
"F22573",-2.1568
"F51757",5.35
"F51282",-4.7591
"F41251",6.4602
"F39084",4.8728
"F862",6.4053
"F18628",3.6787
"F1675",-4.1583
"F8527",-1.2638
"F41045",-5.1501
"F2130",-5.1819
"F29051",6.3882
"F37976",7.3614
"F51349",1.9138
"F51680",-4.125
"F9449",-2.0272
"F40656",-4.1561
"F55038",5.9714
"F9842",2.0873
"F2040",-4.9487
"F29664",1.8853
"F1189",-4.97
"F51333",-5.1938
"F51345",-5.5005
"F3209",5.0721
"F9602",2.5743
"F52048",-3.7001
"F998",-3.3976
"F8567",-4.1437
"F37201",1.7702
"F32800",-4.3562
"F38976",7.1404
"F5104",4.5839
"F38466",6.8452
"F41053",-4.3546
"F50073",-4.8146
"F51502",-4.6054
"F3344",0.9287
"F8707",-1.4619
"F40423",-5.8607
"F997",1.7246
"F1623",-4.534
"F2146",-3.8642
"F1028",-5.6332
"F51464",3.9566
"F9710",5.7975
"F33144",-3.882
"F41073",-6.6332
"F51515",-4.8846
"F11483",3.4596
"F5203",-5.537
"F12278",5.4155
"F963",-3.1059
"F52264",4.2525
"F47912",3.3966
"F51794",-4.1926
"F40442",-5.0782
"F945",-5.8796
"F40418",-4.622
"F11010",6.2623
"F41425",-5.3726
"F41698",-5.3707
"F42439",-3.3542
"F1604",-4.4942
"F34565",5.371
"F41089",-4.7284
"F8117",3.8129
"F47904",5.3892
"F52922",7.1955
"F1091",-1.133
"F51479",-4.4259
"F48963",1.3279
"F1175",-5.319
"F9835",4.6294
"F1870",1.3189
"F51525",2.6268
"F22451",1.7006
"F10550",5.4864
"F3517",5.0604
"F9730",5.7008
"F47699",6.2368
"F1275",-2.5969
"F37995",5.1241
"F41461",-6.3592
"F2119",-1.2537
"F51362",-4.7592
"F53516",-2.8517
"F51386",-6.4926
"F14741",-3.3588
"F1303",4.6544
"F2788",-3.1823
"F1134",-1.3847
"F5599",-5.4991
"F8606",-0.903
"F19423",-3.66
"F13591",-3.6236
"F51447",2.479
"F36637",-6.832
"F9463",-3.5053
"F1589",-5.5621
"F52923",-3.1642
"F11333",0.9161
"F42573",-4.0289
"F42099",-3.5091
"F44067",-6.1659
"F53990",6.4691
"F50222",-7.8286
"F8546",3.7584
"F51376",-8.3771
"F50510",-4.1879
"F51472",-3.8755
"F8876",-1.9384
"F29219",3.1355
"F2766",-3.461
"F1584",-5.484
"F51476",-5.7016
"F834",-4.5103
"F54901",3.4924
"F1353",-2.7223
"F51294",-4.6517
"F52762",-5.0925
"F50585",-7.0502
"F3378",1.039
"F4186",5.9957
"F40798",-2.9149
"F726",-5.4792
"F9802",-3.532
"F50253",-4.1775
"F1538",-5.3111
"F48024",7.1652
"F51300",-4.6585
"F46260",6.1576
"F2674",1.2581
"F9040",3.3749
"F3317",-2.7535
"F32106",1.1228
"F41091",-2.3874
"F11021",0.8009
"F36125",-2.7519
"F40143",-3.6475
"F45928",-7.7697
"F1418",5.1265
"F42724",5.0401
"F31012",-5.4523
"F51999",-5.1432
"F42510",-4.6055
"F11358",5.6233
"F39294",-4.9167
"F545",-0.9898
"F1083",-5.2672
"F51972",1.016
"F1457",-5.2318
"F3919",4.3154
"F1037",-6.36
"F51402",-4.9947
"F53349",5.123
"F25148",-7.0152
"F23322",-4.1396
"F2835",2.7681
"F51399",-5.0393
"F41262",-2.5729
"F623",-2.4522
"F13609",3.9722
"F50289",-3.9288
"F54859",-5.4719
"F1559",5.8091
"F48811",4.3817
"F39687",-4.3626
"F779",-2.6653
"F51279",-3.5629
"F52088",2.5103
"F24599",-6.6541
"F41701",-4.3637
"F2735",4.0995
"F24580",-6.5328
"F741",5.6415
"F41496",-8.5332
"F3500",1.5808
"F2603",5.6836
"F54778",-4.4739
"F1795",-3.4613
"F2733",4.0402
"F5025",-2.1574
"F8389",2.4785
"F3384",-1.6513
"F1815",-1.1815
"F36547",-6.0889
"F51261",-4.6402
"F1781",-1.777
"F40793",5.7885
"F1437",-4.2166
"F2863",3.9795
"F42085",-4.1594
"F11345",2.2638
"F51599",-3.6344
"F1502",-4.0989
"F1893",6.0696
"F67033",0.507
"F976",-4.9337
"F36616",-3.515
"F41722",-3.3155
"F47076",3.5849
"F3160",6.3572
"F53846",3.2742
