"","feature","metadata","value","qvalue"
"F1419","F1419","diagnosis","UC",1.13667130455662e-06
"F1394","F1394","diagnosis","UC",1.15042212504695e-06
"F844","F844","diagnosis","UC",1.16312016938855e-06
"F48623","F48623","diagnosis","UC",1.16778076754558e-06
"F40201","F40201","diagnosis","UC",1.17209927767425e-06
"F848","F848","diagnosis","UC",1.20479081343557e-06
"F40933","F40933","diagnosis","UC",1.20479081343557e-06
"F49479","F49479","diagnosis","UC",1.20479081343557e-06
"F720","F720","diagnosis","UC",1.21696208620771e-06
"F41019","F41019","diagnosis","UC",1.21696208620771e-06
"F45644","F45644","diagnosis","UC",1.2303238338671e-06
"F51429","F51429","diagnosis","UC",1.2303238338671e-06
"F55521","F55521","diagnosis","UC",1.2303238338671e-06
"F39757","F39757","diagnosis","UC",1.2324081441387e-06
"F51482","F51482","diagnosis","UC",1.23546375215619e-06
"F9856","F9856","diagnosis","UC",1.23546375215619e-06
"F41451","F41451","diagnosis","UC",1.28468665985139e-06
"F1340","F1340","diagnosis","UC",1.28498635730716e-06
"F41663","F41663","diagnosis","UC",1.29179686652019e-06
"F1363","F1363","diagnosis","UC",1.29179686652019e-06
"F54072","F54072","diagnosis","UC",1.31130093512585e-06
"F918","F918","diagnosis","UC",1.36258284777778e-06
"F55477","F55477","diagnosis","UC",1.36258284777778e-06
"F3905","F3905","diagnosis","UC",1.36258284777778e-06
"F1414","F1414","diagnosis","UC",1.37134360025411e-06
"F1202","F1202","diagnosis","UC",1.39035033125785e-06
"F2347","F2347","diagnosis","UC",1.39035033125785e-06
"F7891","F7891","diagnosis","UC",1.39035033125785e-06
"F1046","F1046","diagnosis","UC",1.41643097185856e-06
"F970","F970","diagnosis","UC",1.42286170714075e-06
"F50327","F50327","diagnosis","UC",1.50019538360891e-06
"F41152","F41152","diagnosis","UC",1.50019538360891e-06
"F41395","F41395","diagnosis","UC",1.5014346563334e-06
"F41491","F41491","diagnosis","UC",1.50453264801642e-06
"F40981","F40981","diagnosis","UC",1.53059184276736e-06
"F840","F840","diagnosis","UC",1.53613986849547e-06
"F55986","F55986","diagnosis","UC",1.54049194487082e-06
"F1422","F1422","diagnosis","UC",1.55943081084072e-06
"F51388","F51388","diagnosis","UC",1.55943081084072e-06
"F6612","F6612","diagnosis","UC",1.60604250726711e-06
"F872","F872","diagnosis","UC",1.60604250726711e-06
"F40889","F40889","diagnosis","UC",1.61936241357022e-06
"F1347","F1347","diagnosis","UC",1.63230288551985e-06
"F47682","F47682","diagnosis","UC",1.63799854082888e-06
"F54943","F54943","diagnosis","UC",1.64557818503066e-06
"F41903","F41903","diagnosis","UC",1.66449245327268e-06
"F49384","F49384","diagnosis","UC",1.66449245327268e-06
"F1580","F1580","diagnosis","UC",1.74019985312388e-06
"F955","F955","diagnosis","UC",1.75516266967255e-06
"F1734","F1734","diagnosis","UC",1.76460726887787e-06
"F6736","F6736","diagnosis","UC",1.76460726887787e-06
"F40838","F40838","diagnosis","UC",1.76460726887787e-06
"F43307","F43307","diagnosis","UC",1.76950341211937e-06
"F805","F805","diagnosis","UC",1.76950341211937e-06
"F1688","F1688","diagnosis","UC",1.78339612541915e-06
"F1167","F1167","diagnosis","UC",1.8363779122329e-06
"F41170","F41170","diagnosis","UC",1.8640955884724e-06
"F876","F876","diagnosis","UC",1.88408242246913e-06
"F8559","F8559","diagnosis","UC",1.88408242246913e-06
"F10812","F10812","diagnosis","UC",1.90032279274398e-06
"F8553","F8553","diagnosis","UC",1.90653387813169e-06
"F1296","F1296","diagnosis","UC",1.93946181894974e-06
"F926","F926","diagnosis","UC",1.96279704404734e-06
"F2652","F2652","diagnosis","UC",1.9765579798212e-06
"F40859","F40859","diagnosis","UC",1.9765579798212e-06
"F52759","F52759","diagnosis","UC",1.9765579798212e-06
"F40945","F40945","diagnosis","UC",1.98700681656007e-06
"F51360","F51360","diagnosis","UC",1.98700681656007e-06
"F40776","F40776","diagnosis","UC",2.01492216481132e-06
"F1852","F1852","diagnosis","UC",2.02357747261431e-06
"F1248","F1248","diagnosis","UC",2.02850257446796e-06
"F788","F788","diagnosis","UC",2.04038586408369e-06
"F48907","F48907","diagnosis","UC",2.04038586408369e-06
"F56284","F56284","diagnosis","UC",2.09690550339769e-06
"F18020","F18020","diagnosis","UC",2.09690550339769e-06
"F40404","F40404","diagnosis","UC",2.15194178631057e-06
"F9482","F9482","diagnosis","UC",2.18701875158663e-06
"F10701","F10701","diagnosis","UC",2.1956291650597e-06
"F41418","F41418","diagnosis","UC",2.1956291650597e-06
"F2307","F2307","diagnosis","UC",2.20577488887991e-06
"F5820","F5820","diagnosis","UC",2.21103489725129e-06
"F52674","F52674","diagnosis","UC",2.24656337636556e-06
"F2750","F2750","diagnosis","UC",2.28830992000759e-06
"F1961","F1961","diagnosis","UC",2.30667148786744e-06
"F858","F858","diagnosis","UC",2.31636396407091e-06
"F13698","F13698","diagnosis","UC",2.37653239764414e-06
"F43091","F43091","diagnosis","UC",2.40480466947005e-06
"F8595","F8595","diagnosis","UC",2.42643837439665e-06
"F53644","F53644","diagnosis","UC",2.48647605634809e-06
"F3307","F3307","diagnosis","UC",2.49090480372968e-06
"F3326","F3326","diagnosis","UC",2.49090480372968e-06
"F49819","F49819","diagnosis","UC",2.49090480372968e-06
"F41457","F41457","diagnosis","UC",2.49191706340293e-06
"F4188","F4188","diagnosis","UC",2.49191706340293e-06
"F8903","F8903","diagnosis","UC",2.55200852431094e-06
"F49776","F49776","diagnosis","UC",2.60141479527247e-06
"F40903","F40903","diagnosis","UC",2.638382787499e-06
"F40839","F40839","diagnosis","UC",2.6664606907632e-06
"F53599","F53599","diagnosis","UC",2.72312333269659e-06
"F1385","F1385","diagnosis","UC",2.75546329992532e-06
"F42390","F42390","diagnosis","UC",2.75546329992532e-06
"F6973","F6973","diagnosis","UC",2.75739058577898e-06
"F40820","F40820","diagnosis","UC",2.80878300852849e-06
"F41493","F41493","diagnosis","UC",2.81603866896988e-06
"F1562","F1562","diagnosis","UC",2.8721954239481e-06
"F40970","F40970","diagnosis","UC",2.8721954239481e-06
"F11662","F11662","diagnosis","UC",2.8721954239481e-06
"F40815","F40815","diagnosis","UC",2.8721954239481e-06
"F38593","F38593","diagnosis","UC",2.8721954239481e-06
"F7454","F7454","diagnosis","UC",2.88278231377205e-06
"F40318","F40318","diagnosis","UC",2.88278231377205e-06
"F42418","F42418","diagnosis","UC",2.88278231377205e-06
"F48893","F48893","diagnosis","UC",2.89080988897633e-06
"F2958","F2958","diagnosis","UC",2.90111302700914e-06
"F7707","F7707","diagnosis","UC",2.92680395236663e-06
"F41189","F41189","diagnosis","UC",2.93690801521804e-06
"F41401","F41401","diagnosis","UC",3.02292102441494e-06
"F1293","F1293","diagnosis","UC",3.02570825549294e-06
"F2370","F2370","diagnosis","UC",3.08799524792045e-06
"F3863","F3863","diagnosis","UC",3.14483240472031e-06
"F9043","F9043","diagnosis","UC",3.15326353039279e-06
"F1040","F1040","diagnosis","UC",3.17333167466153e-06
"F7205","F7205","diagnosis","UC",3.20433917405931e-06
"F43149","F43149","diagnosis","UC",3.20902050246977e-06
"F53071","F53071","diagnosis","UC",3.20902050246977e-06
"F2719","F2719","diagnosis","UC",3.23057106002474e-06
"F40817","F40817","diagnosis","UC",3.25771830882805e-06
"F11068","F11068","diagnosis","UC",3.26651559280433e-06
"F1907","F1907","diagnosis","UC",3.28735816197148e-06
"F1478","F1478","diagnosis","UC",3.37001194350875e-06
"F1252","F1252","diagnosis","UC",3.4037976755794e-06
"F2095","F2095","diagnosis","UC",3.44382316804533e-06
"F49784","F49784","diagnosis","UC",3.46567751436801e-06
"F2168","F2168","diagnosis","UC",3.46913665549487e-06
"F8543","F8543","diagnosis","UC",3.47924339330244e-06
"F40886","F40886","diagnosis","UC",3.48375600657297e-06
"F55877","F55877","diagnosis","UC",3.49568379474691e-06
"F10490","F10490","diagnosis","UC",3.50587710225956e-06
"F4503","F4503","diagnosis","UC",3.51514820890155e-06
"F11180","F11180","diagnosis","UC",3.5243083471333e-06
"F52397","F52397","diagnosis","UC",3.55105222456562e-06
"F1697","F1697","diagnosis","UC",3.62963749327675e-06
"F9516","F9516","diagnosis","UC",3.71476570353416e-06
"F24674","F24674","diagnosis","UC",3.73601107106624e-06
"F41524","F41524","diagnosis","UC",3.74920078576619e-06
"F968","F968","diagnosis","UC",3.8575289400914e-06
"F1565","F1565","diagnosis","UC",3.93125111953409e-06
"F9347","F9347","diagnosis","UC",3.9484224263637e-06
"F51499","F51499","diagnosis","UC",3.97579292203171e-06
"F51456","F51456","diagnosis","UC",3.98108561766674e-06
"F1752","F1752","diagnosis","UC",3.99294380690421e-06
"F6273","F6273","diagnosis","UC",4.02540388572773e-06
"F26422","F26422","diagnosis","UC",4.03116060005712e-06
"F47359","F47359","diagnosis","UC",4.03116060005712e-06
"F41784","F41784","diagnosis","UC",4.04441483271912e-06
"F52606","F52606","diagnosis","UC",4.06057698805105e-06
